j,k,i,lambda,pitch,r,c,a,a_prime,CL,CD,Cn,Ct,V_rel,dT,dQ,dP
1,2,3,3,-3,3.45,2.259,0.333333,1.742671,0,0.355657,0.079944,-0.070917,8.911705,7.888341,-24.141759,-15.088599
1,2,4,3,-3,5.45,2.338,0.333333,0.971492,0,0.359755,0.097305,-0.098016,9.46261,11.203768,-61.506846,-38.441779
1,2,5,3,-3,7.45,2.339,0.333333,0.62915,0,0.3626,0.109305,-0.124373,10.098897,14.340987,-121.569277,-75.980798
1,2,6,3,-3,9.3,2.848,0.333333,0.45276,0,0.373899,0.120016,-0.152015,10.758642,21.759838,-256.322438,-160.201524
1,2,7,3,-3,11.625,3.708,0.100221,0.049492,0.768869,0.443319,0.20085,0.072125,11.794244,56.978977,237.85988,148.662425
1,2,8,3,-3,12.555,3.672,0.093993,0.039162,0.766635,0.440439,0.220072,0.072078,12.189155,66.03539,271.537463,169.710915
1,2,9,3,-3,13.95,3.418,0.081453,0.026841,0.761014,0.433197,0.246884,0.071189,12.826728,76.358979,307.153019,191.970637
1,2,10,3,-3,15.113,3.196,0.072541,0.019715,0.756977,0.427994,0.269297,0.069313,13.371259,84.634287,329.213275,205.758297
1,2,11,3,-3,16.275,3.002,0.113725,0.05885,1.58561,0.328535,0.530952,0.279278,13.948182,170.554669,1460.044709,912.527943
1,2,12,3,-3,17.438,2.833,0.104721,0.048217,1.585211,0.320702,0.572516,0.287288,14.514337,187.927769,1644.44007,1027.775044
1,2,13,3,-3,18.6,2.687,0.097499,0.040113,1.583582,0.311986,0.613024,0.293614,15.088102,206.241876,1837.336812,1148.335508
1,2,14,3,-3,19.763,2.561,0.091469,0.033672,1.575099,0.304338,0.650005,0.296212,15.670329,224.825412,2024.808915,1265.505572
1,2,15,3,-3,20.925,2.452,0.086363,0.028423,1.560797,0.298816,0.682933,0.29482,16.25951,243.487051,2199.484527,1374.677829
