j,k,i,lambda,pitch,r,c,a,a_prime,CL,CD,Cn,Ct,V_rel,dT,dQ,dP
1,2,2,3,-3,2.325,2.358,0.333333,2.78238,0,0.356176,0.27482,-0.226573,8.640222,26.607543,-51.001986,-31.876241
1,2,3,3,-3,3.45,2.259,0.333333,1.742671,0,0.355657,0.26606,-0.236017,8.911705,26.253039,-80.345735,-50.216084
1,2,4,3,-3,5.45,2.338,0.333333,0.971492,0,0.359755,0.253457,-0.25531,9.46261,29.183226,-160.211122,-100.131951
1,2,5,3,-3,7.45,2.339,0.333333,0.62915,0,0.3626,0.239366,-0.272365,10.098897,31.405291,-266.224248,-166.390155
1,2,6,3,-3,9.3,2.848,0.333333,0.45276,0,0.373899,0.231689,-0.293463,10.758642,42.007131,-494.827674,-309.267296
1,2,7,3,-3,11.625,3.708,0.049125,0.026634,0.778405,0.455608,0.838909,0.331247,12.085325,249.881525,1147.000365,716.875228
1,2,8,3,-3,12.555,3.672,0.048031,0.021847,0.774909,0.451102,0.844232,0.302076,12.446594,264.13642,1186.587585,741.617241
1,2,9,3,-3,13.95,3.418,0.043992,0.015654,0.767425,0.441457,0.845367,0.263019,13.031126,269.863465,1171.2777,732.048562
1,2,10,3,-3,15.113,3.196,0.0409,0.011891,0.762175,0.434693,0.845912,0.233026,13.540369,272.61885,1134.971294,709.357059
1,2,11,3,-3,16.275,3.002,0.038385,0.009134,0.757038,0.428073,0.845139,0.205164,14.065422,276.062359,1090.687959,681.679974
1,2,12,3,-3,17.438,2.833,0.063473,0.030288,1.577336,0.343311,1.431215,0.746641,14.621745,476.77414,4337.268132,2710.792582
1,2,13,3,-3,18.6,2.687,0.061436,0.026267,1.585635,0.329031,1.449656,0.721802,15.179715,493.653962,4571.812761,2857.382976
1,2,14,3,-3,19.763,2.561,0.05966,0.022842,1.584722,0.316901,1.460463,0.691968,15.749358,510.256335,4777.895157,2986.184473
1,2,15,3,-3,20.925,2.452,0.05821,0.020014,1.580839,0.306345,1.468108,0.661482,16.329392,527.935935,4977.445484,3110.903428
1,2,16,3,-3,22.088,2.358,0.056688,0.017415,1.562199,0.299764,1.463989,0.622142,16.919138,543.501495,5101.626385,3188.516491
