j k i lambda pitch r c a a_prime CL CD Cn Ct V_rel dT dQ dP
1 1 43 3.000 -15.00 48.000 0.070 0.333333 0.024110 1.245847 0.214533 1.263007 0.054535 18.862971 17.301611 35.859085 13.447157
1 2 1 3.000 -14.00 1.300 2.400 0.333333 5.323407 0.000000 0.333620 0.264252 -0.203650 5.050029 8.895686 -8.912274 -3.342103
1 2 2 3.000 -14.00 2.325 2.358 0.333333 2.782380 0.000000 0.333991 0.257703 -0.212460 5.184133 8.982093 -17.217094 -6.456410
1 2 3 3.000 -14.00 3.450 2.259 0.333333 1.742671 0.000000 0.333472 0.249464 -0.221295 5.347023 8.861561 -27.120238 -10.170089
1 2 4 3.000 -14.00 5.450 2.338 0.333333 0.971492 0.000000 0.337570 0.237827 -0.239565 5.677566 9.858094 -54.119316 -20.294744
1 2 5 3.000 -14.00 7.450 2.339 0.333333 0.629150 0.000000 0.340415 0.224721 -0.255701 6.059338 10.614177 -89.976920 -33.741345
1 2 6 3.000 -14.00 9.300 2.848 0.333333 0.452760 0.000000 0.351714 0.217942 -0.276051 6.455185 14.225286 -167.568344 -62.838129
1 2 7 3.000 -14.00 11.625 3.708 0.333333 0.319122 0.751717 0.421215 0.857633 0.083462 7.004912 85.824085 97.093909 36.410216
1 2 8 3.000 -14.00 12.555 3.672 0.333333 0.281605 0.751360 0.420756 0.858734 0.064455 7.239379 90.892212 85.653080 32.119905
1 2 9 3.000 -14.00 13.950 3.418 0.333333 0.236433 1.218459 0.376851 1.234516 0.320358 7.605012 134.224327 485.897451 182.211544
1 2 10 3.000 -14.00 15.113 3.196 0.333333 0.206451 1.577345 0.343297 1.534828 0.500173 7.921500 169.294946 833.786537 312.669951
1 2 11 3.000 -14.00 16.275 3.002 0.333333 0.181745 1.581983 0.336082 1.546462 0.473367 8.247290 173.674135 865.197370 324.449014
1 2 12 3.000 -14.00 17.438 2.833 0.333333 0.161122 1.585628 0.328896 1.556160 0.448057 8.582055 178.585520 896.647546 336.242830
1 2 13 3.000 -14.00 18.600 2.687 0.333333 0.143768 1.585297 0.322400 1.561646 0.422342 8.924407 183.811056 924.625608 346.734603
1 2 14 3.000 -14.00 19.763 2.561 0.333333 0.129010 1.584426 0.315624 1.565610 0.398612 9.274191 189.674015 954.393042 357.897391
1 2 15 3.000 -14.00 20.925 2.452 0.333333 0.116381 1.583054 0.309709 1.568676 0.375813 9.630133 196.191808 983.525008 368.821878
1 2 16 3.000 -14.00 22.088 2.358 0.333333 0.105479 1.576352 0.304776 1.566542 0.351740 9.992236 202.849464 1006.028107 377.260540
1 2 17 3.000 -14.00 23.250 2.276 0.333333 0.096020 1.020202 0.365416 1.082178 0.056849 10.359331 145.377466 177.559484 66.584807
1 2 18 3.000 -14.00 24.413 2.203 0.333333 0.087752 1.155778 0.347449 1.201997 0.108385 10.731559 167.728228 369.225737 138.459651
1 2 19 3.000 -14.00 25.575 2.138 0.333333 0.080496 1.303682 0.327848 1.334280 0.163611 11.107839 193.587126 607.096302 227.661113
1 2 20 3.000 -14.00 26.738 2.078 0.333333 0.074085 1.414032 0.313223 1.434611 0.198708 11.488425 216.403088 801.443928 300.541473
1 2 21 3.000 -14.00 27.900 2.018 0.333333 0.068404 1.538645 0.296709 1.548653 0.239037 11.872308 242.274881 1043.332620 391.249733
1 2 22 3.000 -14.00 29.063 1.958 0.333333 0.063339 1.563788 0.287974 1.572170 0.238000 12.259833 254.474312 1119.598933 419.849600
1 2 23 3.000 -14.00 30.225 1.898 0.333333 0.058813 1.566405 0.281447 1.575030 0.228298 12.650047 263.106699 1152.686162 432.257311
1 2 24 3.000 -14.00 31.388 1.838 0.333333 0.054746 1.567503 0.277233 1.576993 0.216830 13.043367 271.217361 1170.498678 438.937004
1 2 25 3.000 -14.00 32.550 1.778 0.333333 0.051084 1.564215 0.273202 1.574637 0.204759 13.438889 278.100361 1177.105381 441.414518
1 2 26 3.000 -14.00 33.713 1.718 0.333333 0.047771 1.561207 0.269514 1.572462 0.193304 13.837084 284.482299 1178.998081 442.124280
1 2 27 3.000 -14.00 34.875 1.658 0.333333 0.044769 1.530329 0.276006 1.546234 0.165067 14.237084 285.801546 1064.055367 399.020763
1 2 28 3.000 -14.00 36.038 1.598 0.333333 0.042036 1.534705 0.270930 1.550333 0.158715 14.639407 292.019135 1077.367201 404.012700
1 2 29 3.000 -14.00 37.200 1.538 0.333333 0.039546 1.538676 0.266323 1.554100 0.152399 15.043210 297.494517 1085.241081 406.965406
1 2 30 3.000 -14.00 38.363 1.478 0.333333 0.037266 1.540604 0.264087 1.556445 0.143805 15.449051 301.977504 1070.354273 401.382852
1 2 31 3.000 -14.00 39.525 1.418 0.333333 0.035178 1.543862 0.260307 1.559596 0.137580 15.856107 305.804742 1066.250518 399.843944
1 2 32 3.000 -14.00 40.688 1.358 0.333333 0.033257 1.546804 0.256893 1.562476 0.131398 16.264964 308.732364 1056.388467 396.145675
1 2 33 3.000 -14.00 41.850 1.298 0.333333 0.031490 1.547762 0.255782 1.563928 0.122968 16.674818 310.439115 1021.520925 383.070347
1 2 34 3.000 -14.00 43.013 1.238 0.333333 0.029857 1.546766 0.256938 1.563934 0.112309 17.086279 310.882779 960.272268 360.102101
1 2 35 3.000 -14.00 44.175 1.178 0.333333 0.028349 1.169320 0.290757 1.204824 -0.015763 17.498554 239.020888 -138.141918 -51.803219
1 2 36 3.000 -14.00 45.570 1.106 0.333333 0.026683 1.170928 0.289155 1.205908 -0.021642 17.994929 237.537561 -194.261749 -72.848156
1 2 37 3.000 -14.00 46.500 1.067 0.333333 0.025652 1.174023 0.286073 1.208156 -0.022932 18.326656 238.131354 -210.177661 -78.816623
1 2 38 3.000 -14.00 47.070 1.028 0.333333 0.025049 1.172678 0.287412 1.207072 -0.027498 18.530276 234.343476 -251.283850 -94.231444
1 2 39 3.000 -14.00 47.256 0.995 0.333333 0.024857 1.191866 0.268300 1.221678 -0.005660 18.596769 231.215848 -50.623917 -18.983969
1 2 40 3.000 -14.00 47.442 0.905 0.333333 0.024667 1.211047 0.249195 1.236314 0.016153 18.663285 214.346405 132.859628 49.822360
1 2 41 3.000 -14.00 47.628 0.748 0.333333 0.024479 1.230221 0.230097 1.250979 0.037941 18.729824 180.543433 260.796516 97.798694
1 2 42 3.000 -14.00 47.814 0.501 0.333333 0.024294 1.249388 0.211007 1.265673 0.059705 18.796386 123.217010 277.916218 104.218582
1 2 43 3.000 -14.00 48.000 0.070 0.333333 0.024110 1.261360 0.194508 1.273920 0.077394 18.862971 17.451114 50.889766 19.083662
1 3 1 3.000 -13.00 1.300 2.400 0.333333 5.323407 0.000000 0.333620 0.264252 -0.203650 5.050029 8.895686 -8.912274 -3.342103
1 3 2 3.000 -13.00 2.325 2.358 0.333333 2.782380 0.000000 0.333991 0.257703 -0.212460 5.184133 8.982093 -17.217094 -6.456410
1 3 3 3.000 -13.00 3.450 2.259 0.333333 1.742671 0.000000 0.333472 0.249464 -0.221295 5.347023 8.861561 -27.120238 -10.170089
1 3 4 3.000 -13.00 5.450 2.338 0.333333 0.971492 0.000000 0.337570 0.237827 -0.239565 5.677566 9.858094 -54.119316 -20.294744
1 3 5 3.000 -13.00 7.450 2.339 0.333333 0.629150 0.000000 0.340415 0.224721 -0.255701 6.059338 10.614177 -89.976920 -33.741345
1 3 6 3.000 -13.00 9.300 2.848 0.333333 0.452760 0.000000 0.351714 0.217942 -0.276051 6.455185 14.225286 -167.568344 -62.838129
1 3 7 3.000 -13.00 11.625 3.708 0.333333 0.319122 1.310654 0.368474 1.286365 0.445928 7.004912 128.727664 518.758953 194.534608
1 3 8 3.000 -13.00 12.555 3.672 0.333333 0.281605 1.377539 0.362397 1.348402 0.459082 7.239379 142.720831 610.063565 228.773837
1 3 9 3.000 -13.00 13.950 3.418 0.333333 0.236433 1.581799 0.336369 1.522245 0.545894 7.605012 165.508053 827.974448 310.490418
1 3 10 3.000 -13.00 15.113 3.196 0.333333 0.206451 1.585657 0.329457 1.535014 0.516316 7.921500 169.315458 860.697616 322.761606
1 3 11 3.000 -13.00 16.275 3.002 0.333333 0.181745 1.585348 0.323391 1.543249 0.486098 8.247290 173.313325 888.465090 333.174409
1 3 12 3.000 -13.00 17.438 2.833 0.333333 0.161122 1.584778 0.317141 1.549929 0.458060 8.582055 177.870435 916.665927 343.749723
1 3 13 3.000 -13.00 18.600 2.687 0.333333 0.143768 1.583288 0.310718 1.554613 0.431884 8.924407 182.983293 945.517711 354.569142
1 3 14 3.000 -13.00 19.763 2.561 0.333333 0.129010 1.577407 0.305145 1.554758 0.405039 9.274191 188.359301 969.781860 363.668197
1 3 15 3.000 -13.00 20.925 2.452 0.333333 0.116381 1.567243 0.301593 1.550923 0.376629 9.630133 193.971449 985.660016 369.622506
1 3 16 3.000 -13.00 22.088 2.358 0.333333 0.105479 1.558076 0.296976 1.546671 0.351572 9.992236 200.276435 1005.547309 377.080241
1 3 17 3.000 -13.00 23.250 2.276 0.333333 0.096020 1.276302 0.331476 1.305312 0.187043 10.359331 175.352727 584.203170 219.076189
1 3 18 3.000 -13.00 24.413 2.203 0.333333 0.087752 1.411878 0.313509 1.426992 0.235336 10.731559 199.124271 801.699891 300.637459
1 3 19 3.000 -13.00 25.575 2.138 0.333333 0.080496 1.559782 0.293908 1.560976 0.287497 11.107839 226.477938 1066.789457 400.046046
1 3 20 3.000 -13.00 26.738 2.078 0.333333 0.074085 1.564215 0.286910 1.566236 0.275665 11.488425 236.257896 1111.833423 416.937534
1 3 21 3.000 -13.00 27.900 2.018 0.333333 0.068404 1.567329 0.279144 1.569742 0.265238 11.872308 245.574051 1157.696033 434.136012
1 3 22 3.000 -13.00 29.063 1.958 0.333333 0.063339 1.564468 0.273512 1.568094 0.251892 12.259833 253.814513 1184.950244 444.356341
1 3 23 3.000 -13.00 30.225 1.898 0.333333 0.058813 1.560542 0.268699 1.565436 0.238538 12.650047 261.504080 1204.390216 451.646331
1 3 24 3.000 -13.00 31.388 1.838 0.333333 0.054746 1.557870 0.265454 1.564212 0.225087 13.043367 269.019218 1215.071693 455.651885
1 3 25 3.000 -13.00 32.550 1.778 0.333333 0.051084 1.554308 0.261351 1.561651 0.213124 13.438889 275.806990 1225.191945 459.446979
1 3 26 3.000 -13.00 33.713 1.718 0.333333 0.047771 1.551049 0.257597 1.559293 0.201775 13.837084 282.099850 1230.665926 461.499722
1 3 27 3.000 -13.00 34.875 1.658 0.333333 0.044769 1.547129 0.256516 1.556882 0.188492 14.237084 287.769593 1215.057640 455.646615
1 3 28 3.000 -13.00 36.038 1.598 0.333333 0.042036 1.550030 0.251897 1.559875 0.181211 14.639407 293.816446 1230.076352 461.278632
1 3 29 3.000 -13.00 37.200 1.538 0.333333 0.039546 1.551567 0.248044 1.561666 0.173448 15.043210 298.942916 1235.131625 463.174359
1 3 30 3.000 -13.00 38.363 1.478 0.333333 0.037266 1.552313 0.246173 1.563117 0.164139 15.449051 303.271926 1221.702529 458.138448
1 3 31 3.000 -13.00 39.525 1.418 0.333333 0.035178 1.553573 0.243012 1.564631 0.156765 15.856107 306.791921 1214.936821 455.601308
1 3 32 3.000 -13.00 40.688 1.358 0.333333 0.033257 1.554712 0.240157 1.566025 0.149565 16.264964 309.433573 1202.440602 450.915226
1 3 33 3.000 -13.00 41.850 1.298 0.333333 0.031490 1.555082 0.239228 1.567064 0.140795 16.674818 311.061470 1169.610037 438.603764
1 3 34 3.000 -13.00 43.013 1.238 0.333333 0.029857 1.554697 0.240195 1.567725 0.130444 17.086279 311.636343 1115.327319 418.247745
1 3 35 3.000 -13.00 44.175 1.178 0.333333 0.028349 1.192020 0.268147 1.221754 0.011437 17.498554 242.379680 100.234526 37.587947
1 3 36 3.000 -13.00 45.570 1.106 0.333333 0.026683 1.193628 0.266545 1.223014 0.005449 17.994929 240.907114 48.907907 18.340465
1 3 37 3.000 -13.00 46.500 1.067 0.333333 0.025652 1.196723 0.263463 1.225374 0.004088 18.326656 241.525041 37.463270 14.048726
1 3 38 3.000 -13.00 47.070 1.028 0.333333 0.025049 1.195378 0.264802 1.224356 -0.000521 18.530276 237.699058 -4.760600 -1.785225
1 3 39 3.000 -13.00 47.256 0.995 0.333333 0.024857 1.214566 0.245690 1.238984 0.021303 18.596769 234.491096 190.528543 71.448204
1 3 40 3.000 -13.00 47.442 0.905 0.333333 0.024667 1.233747 0.226585 1.253641 0.043102 18.663285 217.350416 354.528874 132.948328
1 3 41 3.000 -13.00 47.628 0.748 0.333333 0.024479 1.252921 0.207487 1.268327 0.064877 18.729824 183.047073 445.949715 167.231143
1 3 42 3.000 -13.00 47.814 0.501 0.333333 0.024294 1.262888 0.191705 1.274757 0.081437 18.796386 124.101388 379.075827 142.153435
1 3 43 3.000 -13.00 48.000 0.070 0.333333 0.024110 1.266536 0.177853 1.275446 0.094768 18.862971 17.472019 62.313776 23.367666
1 4 1 3.000 -12.00 1.300 2.400 0.333333 5.323407 0.000000 0.333620 0.264252 -0.203650 5.050029 8.895686 -8.912274 -3.342103
1 4 2 3.000 -12.00 2.325 2.358 0.333333 2.782380 0.000000 0.333991 0.257703 -0.212460 5.184133 8.982093 -17.217094 -6.456410
1 4 3 3.000 -12.00 3.450 2.259 0.333333 1.742671 0.000000 0.333472 0.249464 -0.221295 5.347023 8.861561 -27.120238 -10.170089
1 4 4 3.000 -12.00 5.450 2.338 0.333333 0.971492 0.000000 0.337570 0.237827 -0.239565 5.677566 9.858094 -54.119316 -20.294744
1 4 5 3.000 -12.00 7.450 2.339 0.333333 0.629150 0.000000 0.340415 0.224721 -0.255701 6.059338 10.614177 -89.976920 -33.741345
